title,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
In the Bleak Midwinter,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Hate (Haine, La)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Heidi Fleiss: Hollywood Madam,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
City Hall,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Bottle Rocket,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Mr. Wrong,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unforgettable,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Happy Gilmore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bridges of Madison County, The",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Nobody Loves Me (Keiner liebt mich),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Muppet Treasure Island,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Catwalk,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Braveheart,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Taxi Driver,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Rumble in the Bronx (Hont faan kui),1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Before and After,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Anne Frank Remembered,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Young Poisoner's Handbook, The",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
If Lucy Fell,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Steal Big, Steal Little",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boys of St. Vincent, The",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Boomerang,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chungking Express (Chung Hing sam lam),0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
Flirting With Disaster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NeverEnding Story III, The",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jupiter's Wife,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pie in the Sky,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Down Periscope,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Man of the Year,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Up Close and Personal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Birdcage, The",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brothers McMullen, The",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bad Boys,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"Amazing Panda Adventure, The",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basketball Diaries, The",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Awfully Big Adventure, An",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Amateur,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Apollo 13,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Rob Roy,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"Addiction, The",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Batman Forever,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Beauty of the Day (Belle de jour),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Beyond Rangoon,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Blue in the Face,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Canadian Bacon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Casper,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clockers,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Congo,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Crimson Tide,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Crumb,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Desperado,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Devil in a Blue Dress,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
Die Hard: With a Vengeance,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Doom Generation, The",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
First Knight,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Free Willy 2: The Adventure Home,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hackers,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Jeffrey,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Johnny Mnemonic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Judge Dredd,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Jury Duty,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kids,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Living in Oblivion,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lord of Illusions,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Love & Human Remains,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mad Love,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Mallrats,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mighty Morphin Power Rangers: The Movie,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mute Witness,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Nadja,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Net, The",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Nine Months,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Party Girl,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prophecy, The",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Reckless,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Scarlet Letter, The",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Showgirls,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Smoke,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Something to Talk About,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Species,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Strange Days,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Three Wishes,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Total Eclipse,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"To Wong Foo, Thanks for Everything! Julie Newmar",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Under Siege 2: Dark Territory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unstrung Heroes,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Unzipped,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Walk in the Clouds, A",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Waterworld,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
White Man's Burden,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wild Bill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Browning Version, The",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bushwhacked,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Burnt by the Sun (Utomlyonnye solntsem),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Before the Rain (Pred dozhdot),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Before Sunrise,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Billy Madison,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Babysitter, The",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Boys on the Side,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cure, The",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Castle Freak,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Circle of Friends,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Clerks,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Juan DeMarco,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Disclosure,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Drop Zone,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Destiny Turns on the Radio,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Death and the Maiden,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Dolores Claiborne,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Dumb & Dumber (Dumb and Dumber),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eat Drink Man Woman (Yin shi nan nu),0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Exotica,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Exit to Eden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed Wood,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
French Kiss,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Forget Paris,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Far From Home: The Adventures of Yellow Dog,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goofy Movie, A",0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hideaway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fluke,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Farinelli: il castrato,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Gordy,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hoop Dreams,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Heavenly Creatures,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Houseguest,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immortal Beloved,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Heavyweights (Heavy Weights),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hunted, The",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I.Q.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Interview with the Vampire: The Vampire Chronicles,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Jefferson in Paris,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Jerky Boys, The",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Just Cause,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Kid in King Arthur's Court, A",0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Kiss of Death,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Star Wars: Episode IV - A New Hope,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Little Women,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Little Princess, A",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ladybird Ladybird,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Like Water for Chocolate (Como agua para chocolate),0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Legends of the Fall,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
Major Payne,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Crazy Life (Mi vida loca),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Love Affair,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Losing Isaiah,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Madness of King George, The",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mary Shelley's Frankenstein (Frankenstein),0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Man of the House,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mixed Nuts,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milk Money,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Miracle on 34th Street,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Miami Rhapsody,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Family,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Murder in the First,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Nobody's Fool,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Nell,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
New Jersey Drive,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
New York Cop (Nyû Yôku no koppu),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Beyond Bedlam,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Nina Takes a Lover,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Natural Born Killers,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Only You,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Once Were Warriors,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Poison Ivy II,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Outbreak,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Léon: The Professional (a.k.a. The Professional) (Léon),1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"Perez Family, The",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Pyromaniac's Love Story, A",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pulp Fiction,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Pushing Hands (Tui shou),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Priest,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Quiz Show,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Picture Bride (Bijo photo),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Queen Margot (Reine Margot, La)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Quick and the Dead, The",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Roommates,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ready to Wear (Pret-A-Porter),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three Colors: Red (Trois couleurs: Rouge),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Three Colors: Blue (Trois couleurs: Bleu),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Three Colors: White (Trzy kolory: Bialy),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rent-a-Kid,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Relative Fear,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Stuart Saves His Family,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Swan Princess, The",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secret of Roan Inish, The",0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"Specialist, The",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Stargate,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Santa Clause, The",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Shawshank Redemption, The",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Shallow Grave,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Suture,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Strawberry and Chocolate (Fresa y chocolate),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Swimming with Sharks,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Sum of Us, The",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
National Lampoon's Senior Trip,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To Live (Huozhe),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tank Girl,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tales from the Crypt Presents: Demon Knight,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Star Trek: Generations,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
